Inference results by NN model
1st is strain parameter along x, 2nd is y, 3rd is z and last term is v2
strin_x    strain_y    strain_z    v2
-0.09   -0.1   -0.067  0.8835328
-0.09   -0.1   -0.066  0.8835328
-0.09   -0.1   -0.065  0.8835328
-0.09   -0.1   -0.064  0.8835328
-0.09   -0.1   -0.063  0.8835328
-0.09   -0.1   -0.062  0.8835328
-0.09   -0.1   -0.061  0.8835328
-0.09   -0.1   -0.06  0.8835328
-0.09   -0.1   -0.059  0.8835328
-0.09   -0.1   -0.058  0.8835328
-0.09   -0.1   -0.057  0.8835328
-0.09   -0.1   -0.056  0.8835328
-0.09   -0.1   -0.055  0.8835328
-0.09   -0.1   -0.054  0.8835328
-0.09   -0.1   -0.053  0.8835328
-0.09   -0.1   -0.052  0.8835328
-0.09   -0.1   -0.051  0.8835328
-0.09   -0.1   -0.05  0.8835328
-0.09   -0.1   -0.049  0.8835328
-0.09   -0.1   -0.048  0.8835328
-0.09   -0.1   -0.047  0.8835328
-0.09   -0.1   -0.046  0.8835328
-0.09   -0.1   -0.045  0.8835328
-0.09   -0.1   -0.044  0.8835328
-0.09   -0.1   -0.043  0.8835328
-0.09   -0.1   -0.042  0.8835328
-0.09   -0.1   -0.041  0.8835328
-0.09   -0.1   -0.04  0.8835328
-0.09   -0.1   -0.039  0.8835328
-0.09   -0.1   -0.038  0.8835328
-0.09   -0.1   -0.037  0.8835328
-0.09   -0.1   -0.036  0.8835328
-0.09   -0.1   -0.035  0.8835328
-0.09   -0.1   -0.034  0.8835328
-0.09   -0.1   -0.033  0.8835328
-0.09   -0.1   -0.032  0.8835328
-0.09   -0.1   -0.031  0.8835328
-0.09   -0.1   -0.03  0.8835328
-0.09   -0.1   -0.029  0.8835328
-0.09   -0.1   -0.028  0.8835328
-0.09   -0.1   -0.027  0.8835328
-0.09   -0.1   -0.026  0.8835328
-0.09   -0.1   -0.025  0.8835328
-0.09   -0.1   -0.024  0.8835328
-0.09   -0.1   -0.023  0.8835328
-0.09   -0.1   -0.022  0.8835328
-0.09   -0.1   -0.021  0.8835328
-0.09   -0.1   -0.02  0.8835328
-0.09   -0.1   -0.019  0.8835328
-0.09   -0.1   -0.018  0.8835328
-0.09   -0.1   -0.017  0.8835328
-0.09   -0.1   -0.016  0.8835328
-0.09   -0.1   -0.015  0.8835328
-0.09   -0.1   -0.014  0.8835328
-0.09   -0.1   -0.013  0.8835328
-0.09   -0.1   -0.012  0.8835328
-0.09   -0.1   -0.011  0.8835328
-0.09   -0.1   -0.01  0.8835328
-0.09   -0.1   -0.009  0.8835328
-0.09   -0.1   -0.008  0.8835328
-0.09   -0.1   -0.007  0.8835328
-0.09   -0.1   -0.006  0.8835328
-0.09   -0.1   -0.005  0.8835328
-0.09   -0.1   -0.004  0.8835328
-0.09   -0.1   -0.003  0.8835328
-0.09   -0.1   -0.002  0.8835328
-0.09   -0.1   -0.001  0.8835328
-0.09   -0.1   -0.0  0.8835328
-0.09   -0.1   0.001  0.8835328
-0.09   -0.1   0.002  0.8835328
-0.09   -0.1   0.003  0.8835328
-0.09   -0.1   0.004  0.8835328
-0.09   -0.1   0.005  0.8835328
-0.09   -0.1   0.006  0.8835328
-0.09   -0.1   0.007  0.8835328
-0.09   -0.1   0.008  0.8835328
-0.09   -0.1   0.009  0.8835328
-0.09   -0.1   0.01  0.8835328
-0.09   -0.1   0.011  0.8835328
-0.09   -0.1   0.012  0.8835328
-0.09   -0.1   0.013  0.8835328
-0.09   -0.1   0.014  0.8835328
-0.09   -0.1   0.015  0.8835328
-0.09   -0.1   0.016  0.8835328
-0.09   -0.1   0.017  0.8835328
-0.09   -0.1   0.018  0.8835328
-0.09   -0.1   0.019  0.8835328
-0.09   -0.1   0.02  0.8835328
-0.09   -0.1   0.021  0.8835328
-0.09   -0.1   0.022  0.8835328
-0.09   -0.1   0.023  0.8835328
-0.09   -0.1   0.024  0.8835328
-0.09   -0.1   0.025  0.8835328
-0.09   -0.1   0.026  0.8835328
-0.09   -0.1   0.027  0.8835328
-0.09   -0.1   0.028  0.8835328
-0.09   -0.1   0.029  0.8835328
-0.09   -0.1   0.03  0.8835328
-0.09   -0.1   0.031  0.8835328
-0.09   -0.1   0.032  0.8835328
-0.09   -0.1   0.033  0.8835328
-0.09   -0.1   0.034  0.8835328
-0.09   -0.1   0.035  0.8835328
-0.09   -0.1   0.036  0.8835328
-0.09   -0.1   0.037  0.8835328
-0.09   -0.1   0.038  0.8835328
-0.09   -0.1   0.039  0.8835328
-0.09   -0.1   0.04  0.8835328
-0.09   -0.1   0.041  0.8835328
-0.09   -0.1   0.042  0.8835328
-0.09   -0.1   0.043  0.8835328
-0.09   -0.1   0.044  0.8835328
-0.09   -0.1   0.045  0.8835328
-0.09   -0.1   0.046  0.8835328
-0.09   -0.1   0.047  0.8835328
-0.09   -0.1   0.048  0.8835328
-0.09   -0.1   0.049  0.8835328
-0.09   -0.1   0.05  0.8835328
-0.09   -0.1   0.051  0.8835328
-0.09   -0.1   0.052  0.8835328
-0.09   -0.1   0.053  0.8835328
-0.09   -0.1   0.054  0.8835328
-0.09   -0.1   0.055  0.8835328
-0.09   -0.1   0.056  0.8835328
-0.09   -0.1   0.057  0.8835328
-0.09   -0.1   0.058  0.8835328
-0.09   -0.1   0.059  0.8835328
-0.09   -0.1   0.06  0.8835328
-0.09   -0.1   0.061  0.8835328
-0.09   -0.1   0.062  0.8835328
-0.09   -0.1   0.063  0.8835328
-0.09   -0.1   0.064  0.8835328
-0.09   -0.1   0.065  0.8835328
-0.09   -0.1   0.066  0.8835328
-0.09   -0.1   0.067  0.8835328
